startphrase,ending1,ending2,ending3,ending4,label,min_surprisal_gpt2,min_surprisal_t5,min_surprisal_bert
A lady holds a cat in her lap on the floor. The lady then,A lady holds a cat in her lap on the floor. The lady then clips the cats claws.,A lady holds a cat in her lap on the floor. The lady then flips and smooths cats bars.,A lady holds a cat in her lap on the floor. The lady then pets the small dog.,A lady holds a cat in her lap on the floor. The lady then paints her nails black.,1,4,1,4
Someone is like a dog with a bone. She just,"Someone is like a dog with a bone. She just wears a fine raincoat, etc.",Someone is like a dog with a bone. She just rolls over to with pain.,Someone is like a dog with a bone. She just falls with her braces.,Someone is like a dog with a bone. She just won't let it drop.,4,4,3,4
Someone gets up to answer the door. Someone,Someone gets up to answer the door. Someone gives someone a kiss.,Someone gets up to answer the door. Someone is laden with presents.,Someone gets up to answer the door. Someone strides into someone's room.,Someone gets up to answer the door. Someone steps out of the elevator.,2,4,4,2
"He falls to one side. Someone, the nurse,","He falls to one side. Someone, the nurse, stares at his attacker.","He falls to one side. Someone, the nurse, watches his father leave.","He falls to one side. Someone, the nurse, runs into the street.","He falls to one side. Someone, the nurse, stops to attend him.",4,3,2,3
Someone's mouth hangs open and she shudders. Her lips,Someone's mouth hangs open and she shudders. Her lips spread into a wider smile.,Someone's mouth hangs open and she shudders. Her lips tremble as she finds words.,Someone's mouth hangs open and she shudders. Her lips spread into a little smile.,Someone's mouth hangs open and she shudders. Her lips parted into a serene tangle.,2,3,1,2
"Later, by candlelight, someone stacks coins onto a two - dollar bill. Someone","Later, by candlelight, someone stacks coins onto a two - dollar bill. Someone knocks back a lamp.","Later, by candlelight, someone stacks coins onto a two - dollar bill. Someone serves dinner on a plate.","Later, by candlelight, someone stacks coins onto a two - dollar bill. Someone pulls away from someone.","Later, by candlelight, someone stacks coins onto a two - dollar bill. Someone comes out close in his seat.",2,3,1,3
"Sheltered from the lightly falling snow, she turns toward the building. She","Sheltered from the lightly falling snow, she turns toward the building. She leans on the brick wall.","Sheltered from the lightly falling snow, she turns toward the building. She frowns and makes a shot.","Sheltered from the lightly falling snow, she turns toward the building. She jumps as she drives past.","Sheltered from the lightly falling snow, she turns toward the building. She grins and drives off.",1,1,4,2
"Outside, someone grabs a man and holds him hostage. Inside, someone and someone","Outside, someone grabs a man and holds him hostage. Inside, someone and someone lead her off the bridge.","Outside, someone grabs a man and holds him hostage. Inside, someone and someone exchange an exasperated look.","Outside, someone grabs a man and holds him hostage. Inside, someone and someone step through into a lobby.","Outside, someone grabs a man and holds him hostage. Inside, someone and someone watch from a bus window.",2,2,2,2
The man in the green shirt is talking into a microphone. A man in a purple shirt then,The man in the green shirt is talking into a microphone. A man in a purple shirt then talks into the microphone.,The man in the green shirt is talking into a microphone. A man in a purple shirt then throws a soccer ball.,The man in the green shirt is talking into a microphone. A man in a purple shirt then sits down in front of him.,The man in the green shirt is talking into a microphone. A man in a purple shirt then talks to a group.,1,1,2,3
A man in a purple shirt then talks into the microphone. The man in green shirt,A man in a purple shirt then talks into the microphone. The man in green shirt is playing a flute.,A man in a purple shirt then talks into the microphone. The man in green shirt is playing the guitar.,A man in a purple shirt then talks into the microphone. The man in green shirt begins to play the guitar.,A man in a purple shirt then talks into the microphone. The man in green shirt shakes hands with the woman.,3,2,1,3
"Reaching the cargo hold, someone sprints between the rows of cars towards the open rear door. Someone","Reaching the cargo hold, someone sprints between the rows of cars towards the open rear door. Someone blasts them after it.","Reaching the cargo hold, someone sprints between the rows of cars towards the open rear door. Someone pauses to grab the keys.","Reaching the cargo hold, someone sprints between the rows of cars towards the open rear door. Someone aims his cross in the air.","Reaching the cargo hold, someone sprints between the rows of cars towards the open rear door. Someone pulls out a rifle mask.",2,2,1,2
A sweaty someone cuts a small piece for his mother. He,A sweaty someone cuts a small piece for his mother. He hold his hand to his mouth.,A sweaty someone cuts a small piece for his mother. He ends swiftly to lose someone.,A sweaty someone cuts a small piece for his mother. He drops it on someone 'face.,A sweaty someone cuts a small piece for his mother. He wraps a coin in the slot.,1,1,3,1
He gives her a playful shove. A chubby guy,He gives her a playful shove. A chubby guy drives off behind her.,He gives her a playful shove. A chubby guy join her and someone returns.,He gives her a playful shove. A chubby guy seizes someone's attention.,He gives her a playful shove. A chubby guy blows someone on her way.,1,1,3,2
He gives her a playful shove. A chubby guy,"He gives her a playful shove. A chubby guy eats potatoes, then leaves.",He gives her a playful shove. A chubby guy join her and someone returns.,He gives her a playful shove. A chubby guy seizes someone's attention.,He gives her a playful shove. A chubby guy blows someone on her way.,1,3,3,1
People enter someone's flat. Someone,People enter someone's flat. Someone goes to the fridge.,People enter someone's flat. Someone steps up on a croupier.,People enter someone's flat. Someone puts his head in his hands.,People enter someone's flat. Someone grabs someone 'crumpled hand.,1,1,1,1
"Two men are holding each end of the rope as the black bull stumped on the ground. The bulls are fighting at the center of the field, and the people are watching, one bull","Two men are holding each end of the rope as the black bull stumped on the ground. The bulls are fighting at the center of the field, and the people are watching, one bull gets in the adn.","Two men are holding each end of the rope as the black bull stumped on the ground. The bulls are fighting at the center of the field, and the people are watching, one bull hit the ground, cheering.","Two men are holding each end of the rope as the black bull stumped on the ground. The bulls are fighting at the center of the field, and the people are watching, one bull ran towards the audience.","Two men are holding each end of the rope as the black bull stumped on the ground. The bulls are fighting at the center of the field, and the people are watching, one bull tries to catch his calf.",3,3,3,1
Someone leaps off the train. Someone,Someone leaps off the train. Someone hurls him into the trucks.,Someone leaps off the train. Someone stands by the captain.,Someone leaps off the train. Someone gets to his feet.,Someone leaps off the train. Someone makes a triple - install.,3,3,4,2
Someone leaps off the train. Someone,Someone leaps off the train. Someone hurls him into the trucks.,Someone leaps off the train. Someone heads for the front.,Someone leaps off the train. Someone makes a triple - install.,Someone leaps off the train. Someone stands by the captain.,2,2,3,2
A lady helps the child in the water. The lady,A lady helps the child in the water. The lady runs into the mans feet.,A lady helps the child in the water. The lady lifts her legs again.,A lady helps the child in the water. The lady helps a boy in the water.,A lady helps the child in the water. The lady jogs over and claps.,3,3,2,3
Someone tackles him out the front door. They,Someone tackles him out the front door. They land on the grass.,Someone tackles him out the front door. They run toward an alley.,Someone tackles him out the front door. They hurry out of his enclosure.,Someone tackles him out the front door. They run through an opening.,1,1,1,1
A short board hangs over the garage door. Someone,A short board hangs over the garage door. Someone rips out a thoughtful case.,A short board hangs over the garage door. Someone stands in a doorway.,A short board hangs over the garage door. Someone shoots at the protruding arm.,A short board hangs over the garage door. Someone slips back behind a wall.,2,2,1,2
They all meet the corporate execs at the bar. Someone,They all meet the corporate execs at the bar. Someone gives someone a look.,They all meet the corporate execs at the bar. Someone turns and gawks at someone.,They all meet the corporate execs at the bar. Someone slaps his own face.,They all meet the corporate execs at the bar. Someone pats someone on the back.,4,4,1,1
"Someone sees an open window. A muzzle flash illuminates the window, and someone","Someone sees an open window. A muzzle flash illuminates the window, and someone looks hard at twigs.","Someone sees an open window. A muzzle flash illuminates the window, and someone sees his pistol nearby.","Someone sees an open window. A muzzle flash illuminates the window, and someone reels back before falling.","Someone sees an open window. A muzzle flash illuminates the window, and someone passes on behind her.",3,4,4,1
"Someone puts his hand to his grimacing face. In the black and white footage, someone","Someone puts his hand to his grimacing face. In the black and white footage, someone dances with a man.","Someone puts his hand to his grimacing face. In the black and white footage, someone sits in a first floor bed.","Someone puts his hand to his grimacing face. In the black and white footage, someone pulls on his mask.","Someone puts his hand to his grimacing face. In the black and white footage, someone falls to the ground.",4,4,4,4
"A muzzle flash illuminates the window, and someone reels back before falling. Someone","A muzzle flash illuminates the window, and someone reels back before falling. Someone angrily dunks his pillow.","A muzzle flash illuminates the window, and someone reels back before falling. Someone runs toward the ceremony.","A muzzle flash illuminates the window, and someone reels back before falling. Someone shoves someone to him.","A muzzle flash illuminates the window, and someone reels back before falling. Someone yells to a stunned someone.",4,2,3,2
Someone stops and faces her. He,Someone stops and faces her. He kisses someone on the cheek.,Someone stops and faces her. He looks at her and nods.,Someone stops and faces her. He turns and looks at the girl.,Someone stops and faces her. He peers up a set of stairs.,2,2,2,2
Someone heads over to a coffee table to put them down. Someone,Someone heads over to a coffee table to put them down. Someone hangs up the phone.,Someone heads over to a coffee table to put them down. Someone looks around the toilets.,Someone heads over to a coffee table to put them down. Someone throws her on the last can.,Someone heads over to a coffee table to put them down. Someone looks over his shoulder.,4,1,4,1
The man begins to walk on the stepper. The person,The man begins to walk on the stepper. The person lifts their right hand.,The man begins to walk on the stepper. The person wash the shampoo and socks.,The man begins to walk on the stepper. The person check after the man.,The man begins to walk on the stepper. The person does exercises on the rope.,1,1,3,1
The woman places the glass cups into a dish washer and shows the proper placement. End credits,The woman places the glass cups into a dish washer and shows the proper placement. End credits are shown on a leaf screen.,The woman places the glass cups into a dish washer and shows the proper placement. End credits are shown on these screen.,The woman places the glass cups into a dish washer and shows the proper placement. End credits come onto the screen.,The woman places the glass cups into a dish washer and shows the proper placement. End credits are shown down a news screen.,3,3,3,3
A man in yellow skis down a slope. Several tricks,A man in yellow skis down a slope. Several tricks are shown of the ski lift.,A man in yellow skis down a slope. Several tricks are shown again quickly.,A man in yellow skis down a slope. Several tricks are shown several times.,A man in yellow skis down a slope. Several tricks crash down in a factory.,3,3,2,3
A man in yellow skis down a slope. Several tricks,A man in yellow skis down a slope. Several tricks crash down in a factory.,A man in yellow skis down a slope. Several tricks are shown again quickly.,A man in yellow skis down a slope. Several tricks are done by skiers.,A man in yellow skis down a slope. Several tricks are shown of the ski lift.,3,3,3,3
The lady turns around and smiles. We,The lady turns around and smiles. We see a before and after.,The lady turns around and smiles. We see a lady in the audience.,The lady turns around and smiles. We see the pancake shaped craft.,The lady turns around and smiles. We see the credits of the video.,1,2,3,2
She is getting her hair dried. She,She is getting her hair dried. She cuts his hair and attends it.,She is getting her hair dried. She starts to brush her brush.,She is getting her hair dried. She is wearing a towel.,She is getting her hair dried. She picks up the soap.,3,3,4,4
Someone walks to one of several windows. Someone,Someone walks to one of several windows. Someone puts a steel key in the door.,Someone walks to one of several windows. Someone takes a pan with her.,Someone walks to one of several windows. Someone checks her bowling card.,Someone walks to one of several windows. Someone comes down the stairs.,4,4,3,4
Someone walks to one of several windows. Someone,Someone walks to one of several windows. Someone checks her bowling card.,Someone walks to one of several windows. Someone takes a pan with her.,Someone walks to one of several windows. Someone stands and opens the door.,Someone walks to one of several windows. Someone puts a steel key in the door.,3,3,1,3
"Someone comes in, digging in his purse as he comes. Someone","Someone comes in, digging in his purse as he comes. Someone adds his money to the pile.","Someone comes in, digging in his purse as he comes. Someone is looking out of a window.","Someone comes in, digging in his purse as he comes. Someone goes to the door.","Someone comes in, digging in his purse as he comes. Someone is puzzled by the sound.",1,3,3,3
Someone dumps his money on the table. His lips,Someone dumps his money on the table. His lips curl into a wistful smile.,Someone dumps his money on the table. His lips tremble to one side.,Someone dumps his money on the table. His lips spread in a slight brace.,Someone dumps his money on the table. His lips fix on someone's lap.,1,1,2,3
"Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone","Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone watches them step away.","Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone sits at her desk.","Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone speaks in a duffle bag.","Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone signals to a waiter.",4,2,4,2
"Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone","Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone playfully sips her tea.","Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone speaks in a duffle bag.","Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone sits at her desk.","Someone, her boyfriend, other colleagues and someone sit around a table in the restaurant. Whilst her colleagues laugh, someone watches them step away.",1,3,1,3
They hold him on their shoulders. They then,They hold him on their shoulders. They then drop him to the ground.,They hold him on their shoulders. They then get to their feet.,They hold him on their shoulders. They then jump up and down on the mat.,They hold him on their shoulders. They then come up on the next image.,1,1,2,1
He faces someone whose head remains bowed. Someone,He faces someone whose head remains bowed. Someone stares at his reflection.,He faces someone whose head remains bowed. Someone lifts his head slightly.,He faces someone whose head remains bowed. Someone stares with mouth open!,He faces someone whose head remains bowed. Someone shakes his head and head.,2,2,2,4
He faces someone whose head remains bowed. Someone,He faces someone whose head remains bowed. Someone shakes his head and head.,He faces someone whose head remains bowed. Someone continues to stare at him.,He faces someone whose head remains bowed. Someone stares at his reflection.,He faces someone whose head remains bowed. Someone stares with mouth open!,2,2,4,2
Someone follows Mrs. Gould to their table. Someone,Someone follows Mrs. Gould to their table. Someone turns the computer beams.,Someone follows Mrs. Gould to their table. Someone faces someone and info.,Someone follows Mrs. Gould to their table. Someone holds a cigar as he reads.,Someone follows Mrs. Gould to their table. Someone pulls a biker out of someone.,3,3,2,3
A diver is hugged by other individuals. Three divers,A diver is hugged by other individuals. Three divers stand on a podium.,A diver is hugged by other individuals. Three divers are swimming and the bug.,A diver is hugged by other individuals. Three divers are cubes with long oars.,A diver is hugged by other individuals. Three divers swims before each other.,1,1,1,1
"With a smirk, someone nods at his mother. She","With a smirk, someone nods at his mother. She turns and shrugs a hand.","With a smirk, someone nods at his mother. She slips in close behind.","With a smirk, someone nods at his mother. She 's handing 75 pounds.","With a smirk, someone nods at his mother. She glances around, then frowns.",4,4,2,1
The credits of the clip are shown. People,The credits of the clip are shown. People jumping up and down.,The credits of the clip are shown. People lay on benches on the beach.,The credits of the clip are shown. People are standing in a pool.,The credits of the clip are shown. People are playing flute playing.,3,1,1,1
The credits of the clip are shown. People,The credits of the clip are shown. People lay on benches on the beach.,The credits of the clip are shown. People jumping up and down.,The credits of the clip are shown. People are playing flute playing.,The credits of the clip are shown. People are rowing a inflated boat.,4,2,2,2
He is on a chair. A small television,He is on a chair. A small television is to his left.,"He is on a chair. A small television stirs up, its unusual bundle.",He is on a chair. A small television is on the fence.,He is on a chair. A small television appears on the screen.,1,4,1,4
They brush the ear of the horse. They,They brush the ear of the horse. They brush the face of the horse.,They brush the ear of the horse. They have the hooves on the plate.,They brush the ear of the horse. They stop facing the girl.,They brush the ear of the horse. They start painting on the tree.,1,1,3,1
They brush the ear of the horse. They,They brush the ear of the horse. They begin to groom horses.,They brush the ear of the horse. They start painting on the tree.,They brush the ear of the horse. They have the hooves on the plate.,They brush the ear of the horse. They stop facing the girl.,1,1,1,2
He tries three more times and he is successful but the third girl was by accident and she hits the guy and becomes extremely upset by it. The male does it again and more girls in the restaurant,He tries three more times and he is successful but the third girl was by accident and she hits the guy and becomes extremely upset by it. The male does it again and more girls in the restaurant are getting screwed together.,He tries three more times and he is successful but the third girl was by accident and she hits the guy and becomes extremely upset by it. The male does it again and more girls in the restaurant are standing in the end.,He tries three more times and he is successful but the third girl was by accident and she hits the guy and becomes extremely upset by it. The male does it again and more girls in the restaurant gets to get excited.,He tries three more times and he is successful but the third girl was by accident and she hits the guy and becomes extremely upset by it. The male does it again and more girls in the restaurant begins to kiss him.,4,4,4,2
Someone notices she keeps glancing over at someone. Someone,Someone notices she keeps glancing over at someone. Someone goes down another highway.,Someone notices she keeps glancing over at someone. Someone just dawns on what he sees.,Someone notices she keeps glancing over at someone. Someone drinks from a beer bottle.,Someone notices she keeps glancing over at someone. Someone walks down on the set.,3,3,1,3
Someone notices she keeps glancing over at someone. Someone,Someone notices she keeps glancing over at someone. Someone walks down on the set.,Someone notices she keeps glancing over at someone. Someone just dawns on what he sees.,Someone notices she keeps glancing over at someone. Someone goes down another highway.,Someone notices she keeps glancing over at someone. Someone strolls over to someone.,4,4,4,1
He completes a rubiks cube. A man in a red shirt,He completes a rubiks cube. A man in a red shirt sits holding the spinner.,He completes a rubiks cube. A man in a red shirt is getting a haircut.,He completes a rubiks cube. A man in a red shirt reads and spins the disk.,He completes a rubiks cube. A man in a red shirt is standing next to him.,4,4,2,2
"The elevator opens and someone and someone spill out, almost running into a steward. Someone","The elevator opens and someone and someone spill out, almost running into a steward. Someone is holding his gun.","The elevator opens and someone and someone spill out, almost running into a steward. Someone spies someone with someone.","The elevator opens and someone and someone spill out, almost running into a steward. Someone sorts through the throng.","The elevator opens and someone and someone spill out, almost running into a steward. Someone sprints across the road.",1,1,2,3
"In the back seat of the car, someone slaps her hand against the back window. Naked and his face dripping with sweat, someone","In the back seat of the car, someone slaps her hand against the back window. Naked and his face dripping with sweat, someone looks at his feet.","In the back seat of the car, someone slaps her hand against the back window. Naked and his face dripping with sweat, someone dangles in a barrier.","In the back seat of the car, someone slaps her hand against the back window. Naked and his face dripping with sweat, someone lies on top of someone.","In the back seat of the car, someone slaps her hand against the back window. Naked and his face dripping with sweat, someone lies on his back in the bath.",3,1,1,3
"Later someone sits at the dining room table. His wife, someone,","Later someone sits at the dining room table. His wife, someone, sits on the couch with him.","Later someone sits at the dining room table. His wife, someone, hands him a sheet of paper.","Later someone sits at the dining room table. His wife, someone, joins a magic girl on a sofa.","Later someone sits at the dining room table. His wife, someone, picks up a tray of shrimp.",2,1,4,1
Several bushes are shown in a yard. Two tools,Several bushes are shown in a yard. Two tools are shown under the fence.,Several bushes are shown in a yard. Two tools are sitting on the roof.,Several bushes are shown in a yard. Two tools lay in the grass.,Several bushes are shown in a yard. Two tools are shown trimming the hedge.,3,1,3,1
"Someone's coffin is loaded onto a train. Ashen faced, someone","Someone's coffin is loaded onto a train. Ashen faced, someone steps out of the jet.","Someone's coffin is loaded onto a train. Ashen faced, someone watches with devastated eyes.","Someone's coffin is loaded onto a train. Ashen faced, someone looks away from his mirror.","Someone's coffin is loaded onto a train. Ashen faced, someone climbs onto the wreckage.",2,4,2,1
"Someone's coffin is loaded onto a train. Ashen faced, someone","Someone's coffin is loaded onto a train. Ashen faced, someone climbs onto the wreckage.","Someone's coffin is loaded onto a train. Ashen faced, someone steps out of the jet.","Someone's coffin is loaded onto a train. Ashen faced, someone looks away from his mirror.","Someone's coffin is loaded onto a train. Ashen faced, someone stands at his grave.",4,4,1,2
The lady turns the dog's butt towards the camera. The dog,The lady turns the dog's butt towards the camera. The dog wakes and stands up.,The lady turns the dog's butt towards the camera. The dog bites down on a long sink.,The lady turns the dog's butt towards the camera. The dog shows the candle posing.,The lady turns the dog's butt towards the camera. The dog runs over to help her.,1,4,3,4
The lady runs a clipper through the dog's fur. The lady,The lady runs a clipper through the dog's fur. The lady stops using the clipper.,The lady runs a clipper through the dog's fur. The lady cleans the potato nails.,The lady runs a clipper through the dog's fur. The lady brushes her hair hair.,The lady runs a clipper through the dog's fur. The lady brushes her hair and combs.,1,1,3,1
"He leans against the barn, then glances back at the house. He","He leans against the barn, then glances back at the house. He glances at her, anxiously.","He leans against the barn, then glances back at the house. He enters in the kitchen.","He leans against the barn, then glances back at the house. He crosses to an door.","He leans against the barn, then glances back at the house. He gives a mischievous grin.",3,4,1,4
The groomer sprays the brown dog. The dog,The groomer sprays the brown dog. The dog combs and dips a black brush.,The groomer sprays the brown dog. The dog tries to miss it's claws.,The groomer sprays the brown dog. The dog takes off and walks off.,The groomer sprays the brown dog. The dog runs around the shop.,4,3,4,4
The women pass condiments to each other. A small group,The women pass condiments to each other. A small group has stick - blue tiles.,The women pass condiments to each other. A small group plays a set of drums.,The women pass condiments to each other. A small group sits on a balcony and talk.,The women pass condiments to each other. A small group is playing in a small field.,3,2,1,2
The women pass condiments to each other. A small group,The women pass condiments to each other. A small group has stick - blue tiles.,The women pass condiments to each other. A small group is sitting on a bar.,The women pass condiments to each other. A small group plays a set of drums.,The women pass condiments to each other. A small group is playing in a small field.,2,2,1,3
Someone appears wheeling a barrow. Someone's sword,Someone appears wheeling a barrow. Someone's sword falls off his back.,Someone appears wheeling a barrow. Someone's sword has caught the flagpole.,Someone appears wheeling a barrow. Someone's sword falls from the eagle.,Someone appears wheeling a barrow. Someone's sword comes out in flames.,1,1,2,2
Someone nods and glances at the building. He,Someone nods and glances at the building. He scans the sprawling foyer.,Someone nods and glances at the building. He pats on an orange computer.,Someone nods and glances at the building. He takes off his tape.,Someone nods and glances at the building. He turns his back to someone.,1,4,3,4
"A black stretch limousine pulls up to a factory building. Inside, someone and someone","A black stretch limousine pulls up to a factory building. Inside, someone and someone climb into a waiting taxi.","A black stretch limousine pulls up to a factory building. Inside, someone and someone run along a rocky bank.","A black stretch limousine pulls up to a factory building. Inside, someone and someone pull into a taxi.","A black stretch limousine pulls up to a factory building. Inside, someone and someone run to another door.",1,3,3,1
A second bird flies to his other hand and they put lights on the tree. The young man,A second bird flies to his other hand and they put lights on the tree. The young man opens a lion's cage.,A second bird flies to his other hand and they put lights on the tree. The young man turns a hand knob.,A second bird flies to his other hand and they put lights on the tree. The young man rubs the bird's head.,A second bird flies to his other hand and they put lights on the tree. The young man falls on his feet.,3,4,1,4
They compete intensely at a fast pace. The man of the red team,They compete intensely at a fast pace. The man of the red team wins all four times.,They compete intensely at a fast pace. The man of the red team takes a five score.,They compete intensely at a fast pace. The man of the red team is acting so comfortably.,They compete intensely at a fast pace. The man of the red team does a big jump.,1,1,2,4
They compete intensely at a fast pace. The man of the red team,They compete intensely at a fast pace. The man of the red team does a big jump.,They compete intensely at a fast pace. The man of the red team takes a five score.,They compete intensely at a fast pace. The man of the red team is acting so comfortably.,They compete intensely at a fast pace. The man of the red team runs towards the goal.,4,4,2,4
"Someone breaks off as he spots someone coming towards him past a lineup a cheerleaders rehearsing their routine. Smiling, he","Someone breaks off as he spots someone coming towards him past a lineup a cheerleaders rehearsing their routine. Smiling, he lifts his glasses and smiles.","Someone breaks off as he spots someone coming towards him past a lineup a cheerleaders rehearsing their routine. Smiling, he hops atop the platform.","Someone breaks off as he spots someone coming towards him past a lineup a cheerleaders rehearsing their routine. Smiling, he jogs to meet her.","Someone breaks off as he spots someone coming towards him past a lineup a cheerleaders rehearsing their routine. Smiling, he hugs his adopted sister.",3,1,3,1
"Someone returns fallen bits to the pan. Someone grins, and someone","Someone returns fallen bits to the pan. Someone grins, and someone angrily shifts his gaze.","Someone returns fallen bits to the pan. Someone grins, and someone backs away from the wall.","Someone returns fallen bits to the pan. Someone grins, and someone kisses her on the cheek.","Someone returns fallen bits to the pan. Someone grins, and someone strips off the scarf.",3,3,1,3
"Realizing her advances are directed at him, he hurries away. Later, a series of men","Realizing her advances are directed at him, he hurries away. Later, a series of men talk with him at home.","Realizing her advances are directed at him, he hurries away. Later, a series of men looks back at someone.","Realizing her advances are directed at him, he hurries away. Later, a series of men play ping - pong.","Realizing her advances are directed at him, he hurries away. Later, a series of men hurry someone by his arm.",2,1,3,3
She hits it a few times and then its someone else's turn. An older girl hits it so hard that it does n't break but the whole pinata falls down and the adults,She hits it a few times and then its someone else's turn. An older girl hits it so hard that it does n't break but the whole pinata falls down and the adults try to hit it.,She hits it a few times and then its someone else's turn. An older girl hits it so hard that it does n't break but the whole pinata falls down and the adults sits down on them.,She hits it a few times and then its someone else's turn. An older girl hits it so hard that it does n't break but the whole pinata falls down and the adults proceed to get shot.,She hits it a few times and then its someone else's turn. An older girl hits it so hard that it does n't break but the whole pinata falls down and the adults help the distance.,3,1,4,3
One hand shoved in his pocket. She tearfully,One hand shoved in his pocket. She tearfully tallies him into the run.,One hand shoved in his pocket. She tearfully wipes off her lips.,One hand shoved in his pocket. She tearfully furrows her brow and smiles.,One hand shoved in his pocket. She tearfully lifts his lips to her chin.,1,2,2,3
"He rubs his brow, then pounds his hand on the steering wheel. He accidentally turns on his wipers and they","He rubs his brow, then pounds his hand on the steering wheel. He accidentally turns on his wipers and they fall off the steep roads.","He rubs his brow, then pounds his hand on the steering wheel. He accidentally turns on his wipers and they glide across the windshield.","He rubs his brow, then pounds his hand on the steering wheel. He accidentally turns on his wipers and they look out into the distance.","He rubs his brow, then pounds his hand on the steering wheel. He accidentally turns on his wipers and they hurtle past a city.",2,3,4,2
Someone and her family arrive at the house. Someone and his kids,Someone and her family arrive at the house. Someone and his kids talk with a bodyguard.,Someone and her family arrive at the house. Someone and his kids innocently sit at the window.,Someone and her family arrive at the house. Someone and his kids gather in the ceremony.,Someone and her family arrive at the house. Someone and his kids sit in their seats.,2,4,4,4
Someone and her family arrive at the house. Someone and his kids,Someone and her family arrive at the house. Someone and his kids finished shoveling the yard.,Someone and her family arrive at the house. Someone and his kids gather in the ceremony.,Someone and her family arrive at the house. Someone and his kids talk with a bodyguard.,Someone and her family arrive at the house. Someone and his kids move out of the park.,1,4,2,4
"Someone heads for the pub stage. Someone's friend, someone,","Someone heads for the pub stage. Someone's friend, someone, sits in the armchair.","Someone heads for the pub stage. Someone's friend, someone, is both wearing earphones.","Someone heads for the pub stage. Someone's friend, someone, joins someone and his wife.","Someone heads for the pub stage. Someone's friend, someone, hands him a beer.",4,4,4,4
"Someone heads for the pub stage. Someone's friend, someone,","Someone heads for the pub stage. Someone's friend, someone, comes up to him.","Someone heads for the pub stage. Someone's friend, someone, joins someone and his wife.","Someone heads for the pub stage. Someone's friend, someone, is both wearing earphones.","Someone heads for the pub stage. Someone's friend, someone, sits in the armchair.",1,1,1,1
Men are lifting heavy weights over their head several times. A man in a blue shirt,Men are lifting heavy weights over their head several times. A man in a blue shirt is sitting down next to her.,Men are lifting heavy weights over their head several times. A man in a blue shirt is standing next to her.,Men are lifting heavy weights over their head several times. A man in a blue shirt is watching one of the men.,Men are lifting heavy weights over their head several times. A man in a blue shirt is playing a set of bagpipes.,3,2,2,4
"Several entrees are shown across a stage with a play button in the corner. Then, a plate of pasta is shown and shredded cheese","Several entrees are shown across a stage with a play button in the corner. Then, a plate of pasta is shown and shredded cheese is flipped on the floor.","Several entrees are shown across a stage with a play button in the corner. Then, a plate of pasta is shown and shredded cheese is placed on the counter.","Several entrees are shown across a stage with a play button in the corner. Then, a plate of pasta is shown and shredded cheese is planting the counter.","Several entrees are shown across a stage with a play button in the corner. Then, a plate of pasta is shown and shredded cheese is then drizzled over it.",4,2,3,2
Vegetables are added to the pot. all of the contents,Vegetables are added to the pot. all of the contents are added onto its plate.,Vegetables are added to the pot. all of the contents are poured into a pot.,Vegetables are added to the pot. all of the contents get mixed and cooked.,Vegetables are added to the pot. all of the contents is added with sugar.,3,2,4,2
Meet is placed into a pot. vegetables,Meet is placed into a pot. vegetables are added to the pot.,Meet is placed into a pot. vegetables are put into the oven.,Meet is placed into a pot. vegetables are added to the pasta.,Meet is placed into a pot. vegetables are added to the meat.,1,1,3,4
Cheese is sprinkled on top of the spaghetti. meet,Cheese is sprinkled on top of the spaghetti. meet the team out for the cookies.,Cheese is sprinkled on top of the spaghetti. meet is placed into a pot.,Cheese is sprinkled on top of the spaghetti. meet downs in a credit card.,Cheese is sprinkled on top of the spaghetti. meet are around a salt sea.,2,2,2,1
Someone steps up to him. Someone,Someone steps up to him. Someone gives her a wobbly look.,"Someone steps up to him. Someone hesitates, looking stunned.",Someone steps up to him. Someone kisses someone on the cheek.,Someone steps up to him. Someone pushes someone out of view.,2,3,2,3
Someone throws the briefcase into a chair. Someone,Someone throws the briefcase into a chair. Someone goes through the paperwork.,Someone throws the briefcase into a chair. Someone snaps off the light.,Someone throws the briefcase into a chair. Someone runs across the way.,Someone throws the briefcase into a chair. Someone downs a shot with a fork.,2,1,1,1
