,type,startphrase,ending1,ending2,ending3,ending4,label,bert_average_surprisal_prediction,bert_max_word_surprisal_prediction,bert_max_words_each_ending,gpt2_average_surprisal_prediction,gpt2_max_word_surprisal_prediction,gpt2_max_words_each_ending,t5_average_surprisal_prediction,t5_max_word_surprisal_prediction,t5_max_words_each_ending
372,r,Alice is going for a run. John is cooking. She,reads the newspaper.,puts on her gym shorts.,starts the soup.,cuts the vegetables.,2,1,1,"['newspaper', 'shorts', 'soup', 'vegetables']",1,3,"[' reads', ' gym', ' starts', ' cuts']",4,4,"['reads', 'shorts', 'soup', 'cuts']"
373,o,Mary studies for her math test. She,works on algebra problems,writes an essay,goes for a walk,reads the newspaper,1,2,2,"['problems', 'essay', 'walk', 'newspaper']",2,2,"[' algebra', ' writes', ' goes', ' reads']",2,2,"['problems', 'writes', 'a', 'reads']"
374,o,John studies for his math test. He,watches a cat video.,work on algebra problems.,opens his English textbook.,reads the newspaper.,2,4,4,"['video', 'problems', 'textbook', 'newspaper']",4,4,"[' watches', ' work', ' opens', ' reads']",2,2,"['a', 'problems', 'opens', 'reads']"
375,o,Dan pees outside. Dan,gets a ticket,kills a toilet,rides a giraffe,is a water tower,1,4,4,"['ticket', 'toilet', 'giraffe', 'tower']",1,1,"[' ticket', ' toilet', ' Dan', ' water']",1,4,"['a', 'kills', 'giraffe', 'a']"
376,q,Tim is ten. Tim,is eleven,is twelve,turn ten in five years,was 9 last year,4,2,2,"['eleven', 'twelve', 'years', 'year']",1,1,"[' eleven', ' twelve', ' turn', ' last']",4,2,"['eleven', 'twelve', 'turn', '9']"
377,o,Dan is a bear. Dan,likes honey,has a dog,is a dog,kills space oranges,1,3,3,"['honey', 'dog', 'dog', 'oranges']",3,3,"[' honey', ' dog', ' dog', ' space']",3,3,"['likes', 'a', 'a', 'oranges']"
378,o,Dan is a moth. Dan,hurts walls of passion,is a dog,oranges,likes lights,4,2,1,"['passion', 'dog', 'oranges', 'lights']",2,2,"[' walls', ' dog', ' oranges', ' Dan']",2,2,"['hurts', 'a', 'oranges', 'likes']"
379,o,Kieran is a whale. Kieran,is a mammal,is a dog,has six human kids,is a orange,1,2,2,"['mammal', 'dog', 'kids', 'orange']",2,2,"[' mammal', ' dog', ' human', ' orange']",2,2,"['mammal', 'a', 'kids', 'a']"
380,o,Kieran is a puppy. Kieran,is 5.,digests metal.,is a giraffe.,is a robot.,1,4,4,"['5', 'digests', 'giraffe', 'robot']",3,1,"[' 5', ' dig', ' gir', ' robot']",1,1,"['5', 'digests', 'giraffe', 'robot']"
381,o,Eric is an elf. Eric,eats dog food,lives in the northpole,munchs rocks,is a human,2,4,4,"['food', 'northpole', 'munchs', 'human']",4,4,"[' Eric', 'pole', ' m', ' human']",4,4,"['eats', 'northpole', 'munchs', 'a']"
382,o,A natural disaster affected an arid city. It was probably a,drought.,earthquake.,plague.,tsunami.,1,3,3,"['drought', 'earthquake', 'plague', 'tsunami']",1,1,"[' drought', ' earthquake', ' plague', ' probably']",1,1,"['drought', 'earthquake', 'plague', 'tsunami']"
383,o,"John and Johnny, professional swimmers, are swimming. They",start drowning for no reason,jump in the water,do butterfly,start drinking water.,3,2,2,"['reason', 'water', 'butterfly', 'water']",2,4,"[' drowning', ' jump', ' butterfly', ' drinking']",2,4,"['drowning', 'jump', 'butterfly', 'start']"
384,o,Legolas the elf pulled out his bow and arrow. Legolas,shot an orc in the head,ate dinner,did sports,had fun,1,1,4,"['orc', 'dinner', 'sports', 'fun']",1,1,"[' orc', ' ate', ' sports', ' fun']",4,4,"['orc', 'ate', 'sports', 'fun']"
385,o,The man wondered if his boss would accept his proposal. He,took his family out for a movie,took his dog for a walk,worked hard to make a favorable impression in front of him,ate dinner at a fancy restaurant,3,3,2,"['movie', 'walk', 'him', 'restaurant']",2,2,"[' family', ' dog', ' favorable', ' ate']",3,1,"['a', 'a', 'a', 'ate']"
386,o,The man is blowing on the cake. The man,loves to eat cake.,turns fifty today.,sits by the window.,considers going to the hospital.,2,3,3,"['cake', 'today', 'window', 'considers']",1,1,"[' loves', ' fifty', ' sits', ' considers']",4,2,"['eat', 'today', 'sits', 'considers']"
387,o,The kangaroo escapes the zoo. The kangaroo,gets plane tickets back to Australia.,calls for a taxi.,goes to school to become smarter.,hops around until he gets caught.,4,1,1,"['australia', 'taxi', 'smarter', 'hops']",2,2,"[' plane', ' taxi', ' smarter', ' hops']",1,1,"['Australia', 'a', 'smarter', 'hops']"
388,o,"Samwise lives in Middle Earth, He is always talking about his friend. His friend is a hobbit and Frodo is the only hobbit in middle earth.",Is Samwise talking to middle earth,Is Samwise a hobbit,Is Samwise talking to himself,Is Samwise talking to Frodo,4,1,1,"['samwise', 'hobbit', 'samwise', 'frodo']",2,2,"[' middle', ' Sam', ' Sam', ' Sam']",1,3,"['Samwise', 'hobbit', 'Samwise', 'Frodo']"
389,o,Bob is Sarah's father-in-law. Kate is Sarah's mother-in-law. Bob is Kate's,Brother,Mother,Husband,Father,3,4,4,"['brother', 'mother', 'husband', 'father']",3,4,"[' Brother', ' Mother', ' Hus', ' Father']",2,2,"['Brother', 'Mother', 'Husband', 'Father']"
390,o,Bob and Sarah are gay. Bob likes hanging out with Sarah because she understands what is he is going through. Sarah is Bob's,Girlfriend,Sister,Partner,Friend,4,2,2,"['girlfriend', 'sister', 'partner', 'friend']",1,1,"[' G', ' Sister', ' Partner', ' Friend']",3,3,"['Girlfriend', 'Sister', 'Partner', 'Friend']"
391,o,The carefully generated words were classified incorrectly by the model. The model,is classified.,ceases to be useful.,eats dinner.,raises prices.,2,1,1,"['classified', 'ceases', 'dinner', 'prices']",2,1,"[' classified', ' ceases', ' eats', ' raises']",1,1,"['classified', 'ceases', 'eats', 'raises']"
392,o,The carefully generated words were classified incorrectly by the model. The model,eats dinner.,calls classification experts.,raises prices.,ceases to be useful.,4,4,1,"['dinner', 'experts', 'prices', 'ceases']",4,2,"[' eats', ' classification', ' raises', ' ceases']",4,2,"['eats', 'classification', 'raises', 'ceases']"
393,q,If we assume the root of a number is half of that number. The root of 16 is,1,4,8,2,3,1,1,"['1', '4', '8', '2']",1,1,"[' 1', ' 4', ' 8', ' 2']",1,1,"['1', '4', '8', '2']"
394,q,1 + 2 is,2,1,3,5,3,2,2,"['2', '1', '3', '5']",2,2,"[' 2', ' 1', ' 3', ' 5']",2,2,"['2', '1', '3', '5']"
395,r,"Sachin is the best cricketer in the world, and Roger is the best tennis player ever. I like tennis a lot more than cricket. Hence, I like",Myself,Roger,Professor Doug,Sachin,2,1,1,"['myself', 'roger', 'doug', 'sachin']",2,2,"[' My', ' Roger', ' Professor', ' Sach']",2,2,"['Myself', 'Roger', 'Professor', 'Sachin']"
396,o,The carefully generated words were classified incorrectly by the model. The model,raises prices.,ceases to be useful.,eats dinner.,is used to reduce classification tasks.,2,4,3,"['prices', 'ceases', 'dinner', 'tasks']",2,4,"[' raises', ' ceases', ' eats', ' tasks']",4,4,"['raises', 'ceases', 'eats', 'classification']"
397,r,I like my father but my mother hates him ever since their Divorce. She loves my step-father though. My father is my mother's,husband,Ex-husband,father,Friend,2,3,3,"['husband', 'exhusband', 'father', 'friend']",2,1,"[' husband', ' Ex', ' father', ' Friend']",3,3,"['husband', 'Exhusband', 'father', 'Friend']"
398,o,The carefully generated words were classified incorrectly by the model. The model,raises prices.,eats dinner.,ceases to be useful.,is used to remove classification tasks.,3,4,2,"['prices', 'dinner', 'ceases', 'tasks']",3,4,"[' raises', ' eats', ' ceases', ' tasks']",4,4,"['raises', 'eats', 'ceases', 'classification']"
399,o,Harry was feeling really sick. He,lied down and fell asleep,went to a party with friends,went outside for a run,lifted weights,1,2,2,"['asleep', 'friends', 'run', 'weights']",3,3,"[' lied', ' party', ' run', ' weights']",2,2,"['lied', 'a', 'a', 'weights']"
400,r,"Evan is in hospital, Terry will",take some medicine,take some flower,take some drug,take pictures,2,4,4,"['medicine', 'flower', 'drug', 'pictures']",1,1,"[' medicine', ' flower', ' drug', ' pictures']",4,1,"['some', 'flower', 'drug', 'pictures']"
401,p,A nail is made in a factory. The nail,grows slowly.,is made out of steel.,is a part of your finger.,protects your fingers.,4,2,4,"['slowly', 'steel', 'finger', 'fingers']",2,2,"[' grows', ' out', ' finger', ' protects']",2,2,"['grows', 'steel', 'a', 'protects']"
402,o,A boy has three yellow objects. They,are eggplants.,are blades of grass.,are bananas.,are footballs.,3,2,2,"['eggplants', 'grass', 'bananas', 'footballs']",2,3,"[' egg', ' blades', ' bananas', ' football']",2,2,"['eggplants', 'blades', 'bananas', 'footballs']"
403,o,Timmy wanted to tell his parents in London that he was safe in America. Timmy,made a phone call to talk to them.,kayaked across the Atlantic ocean to talk to them.,took a plane back to talk to them.,put his message into a bottle and threw it into the ocean.,1,4,4,"['them', 'kayaked', 'them', 'ocean']",1,4,"[' talk', ' kay', ' talk', ' message']",1,1,"['a', 'kayaked', 'a', 'threw']"
404,o,Timmy wanted to look at the stars in the night sky. Timmy,hiked out into an open field and pulled out his telescope.,pulled out his telescope to look at the sun.,closed his window.,slept until next morning.,1,2,2,"['hiked', 'sun', 'window', 'morning']",2,2,"[' h', ' pulled', ' closed', ' slept']",2,2,"['hiked', 'sun', 'closed', 'slept']"
405,o,Two men walk into a bar. The,receptionist at the desk asks for their identification.,bartender says hello.,men walk into a bar.,ice skates are too tight so they take them off.,2,3,3,"['identification', 'hello', 'bar', 'off']",3,3,"[' reception', ' hello', ' walk', ' ice']",3,3,"['receptionist', 'bartender', 'a', 'ice']"
406,n,A paper was reviewed thoroughly and the reviews were negative. The paper,was rejected.,was published.,was the best paper.,was accepted.,1,1,1,"['rejected', 'published', 'paper', 'accepted']",1,4,"[' rejected', '.', ' the', ' accepted']",3,2,"['rejected', 'published', 'paper', 'accepted']"
407,n,A paper was reviewed thoroughly and the reviews were positive. The paper,was published.,was the best paper.,was accepted.,was rejected.,2,1,1,"['published', 'paper', 'accepted', 'rejected']",3,3,"['.', ' the', ' accepted', ' rejected']",2,2,"['published', 'paper', 'accepted', 'rejected']"
408,o,The student studies for hours at the library. The library,has to close as it becomes too late in the night.,becomes a potato.,has to close because the student has been studying too much.,opens up a hot dog stand and has a party.,1,1,1,"['night', 'potato', 'much', 'party']",3,1,"[' close', ' potato', ' close', ' hot']",3,3,"['close', 'potato', 'close', 'a']"
409,o,The student studies for hours at the library. The library,has to close because it was too late and the student must leave.,has to close because the student has been studying too much.,becomes a potato.,opens up a hot dog stand and has a party.,1,1,1,"['leave', 'much', 'potato', 'party']",2,1,"[' close', ' close', ' potato', ' hot']",2,1,"['close', 'close', 'potato', 'a']"
410,o,The student studies for hours at the library. The library,has to close because it was too late and the student goes home to study more.,opens up a hot dog stand and has a party.,has to close because the student has been studying too much.,becomes a potato.,1,1,3,"['more', 'party', 'much', 'potato']",3,3,"[' goes', ' hot', ' close', ' potato']",3,1,"['close', 'a', 'close', 'potato']"
411,o,The student studies for hours at the library. The library,becomes a potato.,has to close because the student has been studying too much.,has to close because the library hours are over and the student leaves.,opens up a hot dog stand and has a party.,3,3,3,"['potato', 'much', 'leaves', 'party']",2,2,"[' potato', ' close', ' hours', ' hot']",2,2,"['potato', 'close', 'leaves', 'a']"
412,o,The student studies for hours at the library. The library,opens up a hot dog stand and has a party.,has to close because the student has been studying too much.,has to close and the student must leave.,offers a quiet environment which is conducive to productivity.,4,3,3,"['party', 'much', 'leave', 'conducive']",2,2,"[' hot', ' close', ' close', ' quiet']",2,3,"['a', 'close', 'close', 'conducive']"
413,o,The student studies for hours at the library. The library,has to close because the student has been studying too much.,helps the student concentrate and study.,has to close and the student must leave.,opens up a hot dog stand and has a party.,2,3,2,"['much', 'study', 'leave', 'party']",1,1,"[' close', ' concentrate', ' close', ' hot']",1,3,"['close', 'concentrate', 'close', 'a']"
414,o,The student studies for hours at the library. It gets late so he,must go back home.,must sleep there.,must eat there.,must work.,1,1,4,"['home', 'there', 'there', 'work']",1,1,"[' must', ' sleep', ' eat', ' must']",1,1,"['must', 'sleep', 'eat', 'must']"
415,o,A group of dogs are running around a race track. The leader,computes the derivative of the inside function.,speeds up towards the finish line.,digs in the sand playfully.,catches a frisbee in its mouth.,2,2,2,"['computes', 'line', 'playfully', 'frisbee']",2,2,"[' derivative', ' speeds', ' digs', ' fr']",2,2,"['computes', 'speeds', 'playfully', 'frisbee']"
416,o,A woman gets to work early and drops off her briefcase. She then,microwaves her lunch.,makes small-talk at the water fountain.,lays down to watch a favorite show.,drives home through traffic.,2,3,4,"['microwaves', 'smalltalk', 'show', 'traffic']",4,4,"[' microw', ' water', ' favorite', ' through']",4,4,"['microwaves', 'smalltalk', 'lays', 'traffic']"
417,o,A woman gets to work early and drops off her briefcase. She then,drives home through traffic.,makes small talk at the water cooler.,microwaves her lunch.,lays down to watch a favorite show.,2,2,1,"['traffic', 'cooler', 'microwaves', 'show']",2,1,"[' through', ' water', ' microw', ' favorite']",2,1,"['traffic', 'talk', 'microwaves', 'lays']"
418,o,A woman gets to work early and drops off her briefcase. She then,chats with colleagues at the office.,microwaves her lunch.,lays down to watch a favorite show.,drives home through traffic.,1,3,4,"['chats', 'microwaves', 'show', 'traffic']",1,4,"[' chats', ' microw', ' favorite', ' through']",1,4,"['chats', 'microwaves', 'lays', 'traffic']"
419,o,A woman gets to work early and drops off her briefcase. She then,microwaves her lunch.,drives home through traffic.,lays down to watch a favorite show.,makes small talk at the office.,4,4,4,"['microwaves', 'traffic', 'show', 'office']",4,2,"[' microw', ' through', ' favorite', ' small']",4,2,"['microwaves', 'traffic', 'lays', 'talk']"
420,o,An old man puts on a scarf and grabs his lunch. He then,robs a convenience store at gun point.,goes back to sleep.,braces for his walk to work,puts on his skis and gets on the chair lift.,3,2,2,"['robs', 'sleep', 'braces', 'lift']",2,2,"[' ro', ' then', ' braces', ' lift']",2,2,"['robs', 'sleep', 'braces', 'skis']"
421,o,A man is wearing a helmet. He,made a good friend,eats a pizza.,shoots his pistol.,gets on his bicycle.,4,2,3,"['friend', 'pizza', 'pistol', 'bicycle']",4,4,"[' made', ' eats', ' shoots', ' gets']",4,4,"['a', 'eats', 'shoots', 'bicycle']"
422,o,The customer filed a complaint after the product was delivered. The product,came with several issues.,wasn't safe for use in the Amazon rainforest.,of all matrices has some built-in error.,of his decisions are tracked in a diary.,1,1,4,"['issues', 'wasnt', 'builtin', 'diary']",2,1,"[' several', ' Amazon', ' mat', ' decisions']",1,1,"['issues', 'wasnt', 'matrices', 'a']"
423,p,The TV show host wasn't making any sense. The host,country organized a beautiful World Cup.,couldn't be reached after the connection hang.,was possibly drunk.,disseminated the disease through society.,3,3,3,"['cup', 'hang', 'drunk', 'disseminated']",3,3,"[' country', ' hang', ' possibly', ' dissemin']",3,3,"['a', 'hang', 'possibly', 'disseminated']"
424,o,The earth and the sun are both celestial objects. The,earth is a planet.,earth orbits the sun.,sun orbits the earth.,earth and sun are both celestial objects.,2,2,2,"['planet', 'sun', 'earth', 'objects']",4,4,"[' planet', ' orbits', ' orbits', ' sun']",3,1,"['a', 'orbits', 'orbits', 'celestial']"
425,o,The cat was climbing the tree. It,is a climbing champion in the feline league.,catcalled other cats from the top of the tree.,was trying to get the bird.,was in fact a decision tree.,3,3,3,"['feline', 'catcalled', 'bird', 'tree']",3,3,"[' climbing', ' cat', ' bird', ' decision']",3,3,"['feline', 'catcalled', 'get', 'tree']"
426,o,"John and Johnny, professional swimmers, are swimming. They",jump in the water,start drinking water,perform backstroke,are drowning for no reason,3,1,1,"['water', 'water', 'backstroke', 'reason']",1,2,"[' jump', ' drinking', ' perform', ' drowning']",1,2,"['jump', 'start', 'backstroke', 'drowning']"
427,o,John is a professional swimmer and is swimming. He,drank water,drowned,did breaststroke,jumped in the water,3,4,4,"['water', 'drowned', 'breaststroke', 'water']",4,4,"[' drank', ' drowned', ' breast', ' jumped']",4,4,"['drank', 'drowned', 'breaststroke', 'jumped']"
428,o,"John is a professional swimmer, and stopped at the deep end. He",jumped in the water,drank water,treaded,yelled,3,1,1,"['water', 'water', 'treaded', 'yelled']",1,1,"[' jumped', ' drank', ' tread', ' yelled']",1,1,"['jumped', 'drank', 'treaded', 'yelled']"
429,o,John jumped off the diving board in the wrong direction. He,ate a pineapple,swam with a school of fish,dived into the water,cracked his head open on pavement,4,4,2,"['pineapple', 'fish', 'dived', 'pavement']",3,3,"[' ate', ' school', ' d', ' pavement']",4,4,"['ate', 'swam', 'dived', 'pavement']"
430,o,John drove on the road in the wrong direction. He,went to buy ice cream,collided head on to another car,rear ended a car,stopped at a stop sign,2,4,3,"['cream', 'car', 'car', 'sign']",4,4,"[' buy', ' collided', ' rear', ' stopped']",1,1,"['ice', 'collided', 'a', 'a']"
431,o,John scored the wrong soccer goal. His team,gave him ice cream.,cheer him on!,was very angry at him.,held him on their shoulders.,3,4,4,"['cream', 'on', 'him', 'shoulders']",3,3,"[' ice', ' cheer', ' angry', ' held']",3,3,"['ice', 'him', 'angry', 'shoulders']"
432,o,John rode a bicycle in the bicycle lane in the wrong direction. He,ate ice cream,collided head on with another bicyclist.,rear ended another bicyclist.,paid his bills,2,4,4,"['cream', 'bicyclist', 'bicyclist', 'bills']",2,2,"[' ate', ' collided', ' rear', ' paid']",4,4,"['ate', 'bicyclist', 'bicyclist', 'bills']"
433,o,John cautiously walked across room with a banana on the floor. He,slipped on the banana,ate the banana,avoided the banana,put on his shoes,3,4,2,"['banana', 'banana', 'banana', 'shoes']",4,4,"[' slipped', ' ate', ' avoided', ' put']",4,4,"['slipped', 'ate', 'avoided', 'put']"
434,o,John is at his apartment door with his key that fits. He,keyed someone's car,opened the door with his key.,called his roommate for help.,opened a lock with his key.,2,2,3,"['someones', 'key', 'help', 'key']",2,2,"[' key', ' opened', ' called', ' opened']",2,2,"['keyed', 'opened', 'roommate', 'a']"
435,o,John received a new t-shirt to sell for his shop. He,put the t-shirt on display,used the t-shirt as a mop,gave the t-shirt to his dog,wore the t-shirt at home,1,4,4,"['tshirt', 'tshirt', 'tshirt', 'tshirt']",1,4,"[' put', ' m', ' dog', ' wore']",3,2,"['tshirt', 'mop', 'tshirt', 'tshirt']"
436,o,John created a t-shirt for his own company and employees. He,gave them to his subordinates.,set them on fire.,threw them away.,wore them himself and did not give them to anyone else.,1,4,3,"['subordinates', 'fire', 'away', 'else']",4,2,"[' subordinates', ' set', ' threw', ' himself']",4,2,"['subordinates', 'them', 'threw', 'wore']"
437,o,John started swimming a week ago. He,swam at the state level.,swam very quickly like a professional.,only knew how to doggy paddle.,swam with perfect strokes.,3,2,2,"['level', 'professional', 'doggy', 'strokes']",1,1,"[' state', ' like', 'ggy', ' perfect']",3,3,"['swam', 'swam', 'doggy', 'swam']"
438,n,John created a new meme that he thought would NOT be popular. He,deleted it from his device and tried again.,posted it on social media,founded a company.,gave it to the marketing team.,1,2,2,"['again', 'media', 'company', 'team']",2,2,"[' device', ' social', ' founded', ' marketing']",2,2,"['device', 'posted', 'a', 'marketing']"
439,r,John worked on project with a female partner that does all the work. He,stole his food.,drowned his partner in the river.,did all of the work.,did not do any work.,4,3,3,"['food', 'river', 'work', 'work']",3,3,"[' stole', ' drowned', ' did', ' did']",3,3,"['food', 'drowned', 'of', 'any']"
440,o,John is having a normal day. He feels,happy.,scared.,normal.,down.,3,1,1,"['happy', 'scared', 'normal', 'down']",3,3,"[' happy', ' scared', ' normal', ' down']",1,1,"['happy', 'scared', 'normal', 'down']"
441,o,John runs for a frisbee that is not in the air. He,catches the frisbee.,throws the frisbee.,eats chocolate.,picks up the frisbee from the ground.,4,4,3,"['frisbee', 'frisbee', 'chocolate', 'frisbee']",4,4,"[' catches', ' throws', ' chocolate', ' picks']",4,3,"['frisbee', 'frisbee', 'eats', 'frisbee']"
442,o,John swims faster than Michael Phelps. He,swims at the state level.,drowned for no reason.,swam slower than a high schooler.,broke the 200 fly world record.,4,4,4,"['swims', 'reason', 'schooler', 'fly']",3,3,"[' state', ' drowned', ' slower', ' fly']",1,1,"['swims', 'drowned', 'swam', 'fly']"
443,o,John swims faster than Michael Phelps. He,swam slower than a high schooler.,went to the Olympics.,drowned for no reason.,swims at the state level.,2,2,2,"['schooler', 'olympics', 'reason', 'swims']",2,2,"[' slower', ' went', ' drowned', ' state']",2,2,"['swam', 'Olympics', 'drowned', 'swims']"
444,o,John is currently swimming with goggles that don't leak. His eyes,are open and viewing the pool.,are small.,sting with water.,are crying.,1,1,3,"['pool', 'small', 'water', 'crying']",2,2,"[' viewing', ' small', ' sting', ' crying']",2,2,"['viewing', 'small', 'sting', 'crying']"
445,o,John bought a ring for his girlfriend. He,threw out the ring.,burned the ring.,wore the ring himself.,gave the ring to her.,4,4,4,"['ring', 'ring', 'himself', 'her']",4,4,"[' threw', ' burned', ' himself', ' gave']",4,4,"['threw', 'burned', 'wore', 'ring']"
446,o,John cooked three entrees for his family. He,gave all the food to his dogs.,ate all the food himself.,threw the food away so it would not be wasted.,gave the food to his relatives.,4,3,4,"['dogs', 'himself', 'wasted', 'relatives']",1,1,"[' dogs', ' himself', ' threw', ' relatives']",1,4,"['dogs', 'ate', 'threw', 'food']"
447,o,John was sitting on the toilet without the lid on. He,washed his hands.,stood up and lifted the lid.,cleaned the floor.,pooped.,4,2,3,"['hands', 'lid', 'floor', 'pooped']",2,2,"[' washed', ' stood', ' cleaned', ' po']",2,2,"['washed', 'lifted', 'cleaned', 'pooped']"
448,o,He pours the raw egg batter into the pan. He,stirs the dough into a kite.,drops the tiny pan onto a plate.,lifts the pan and moves it around to shuffle the eggs.,swirls the stir under the adhesive.,3,3,2,"['kite', 'plate', 'eggs', 'adhesive']",3,1,"[' k', ' tiny', ' shuffle', ' adhesive']",3,2,"['kite', 'a', 'shuffle', 'swirls']"
449,r,An old man rides a small bumper car. Several people,are minding their own business.,get in the parking lot.,are watching him maneuver his car smartly.,are trying to take him out and fly away in his car.,3,4,4,"['business', 'lot', 'smartly', 'car']",1,2,"[' mind', ' parking', ' smart', ' fly']",2,2,"['minding', 'get', 'smartly', 'fly']"
450,o,John is a horrible programmer. He,does not know how to code.,codes like a professional.,is amazing at coding.,drinks soup.,1,1,3,"['code', 'professional', 'coding', 'soup']",1,1,"[' does', ' codes', ' amazing', ' drinks']",1,1,"['code', 'codes', 'coding', 'soup']"
451,r,The man is blow drying his cat. The cat,"tried to cut her face, so she is trying to do something very close to her face.",washes her face with the shampoo.,walks into frame and walks towards the dog.,is sitting quietly and observing the man.,4,1,4,"['face', 'shampoo', 'dog', 'man']",2,2,"[' tried', 'hes', ' frame', ' observing']",1,1,"['cut', 'washes', 'frame', 'observing']"
452,o,John is a horrible swimmer. He,invented a new stroke.,has amazing strokes.,swam extremely fast.,almost drowned.,4,4,4,"['stroke', 'strokes', 'fast', 'drowned']",3,4,"[' invented', ' strokes', ' extremely', ' almost']",2,1,"['a', 'strokes', 'swam', 'drowned']"
453,o,Kieran is a puppy. Kieran,digests metal.,is one year's old.,is a giraffe.,is a robot.,2,4,4,"['digests', 'old', 'giraffe', 'robot']",3,4,"[' dig', ""'s"", ' gir', ' robot']",2,2,"['digests', 'years', 'giraffe', 'robot']"
454,o,Kieran is a puppy. Kieran,is a giraffe.,is five year's old.,digests metal.,is a robot.,2,4,4,"['giraffe', 'old', 'digests', 'robot']",1,4,"[' gir', ""'s"", ' dig', ' robot']",2,2,"['giraffe', 'five', 'digests', 'robot']"
455,o,Kieran is a puppy. Kieran,is a robot.,is a giraffe.,digests metal.,is 5 years' old.,4,1,1,"['robot', 'giraffe', 'digests', 'old']",2,1,"[' robot', ' gir', ' dig', ""'""]",4,4,"['robot', 'giraffe', 'digests', '5']"
456,o,Moths are a common species of insects. Moths,like lights.,are dogs.,hurt walls of passion.,oranges.,1,2,3,"['lights', 'dogs', 'hurt', 'oranges']",2,1,"[' lights', ' dogs', ' passion', ' oranges']",2,2,"['lights', 'dogs', 'passion', 'oranges']"
457,o,Moths are a common species of insects. Moths,oranges.,are dogs.,hurt walls of passion.,are drawn to lights.,4,4,3,"['oranges', 'dogs', 'hurt', 'lights']",4,4,"[' oranges', ' dogs', ' passion', ' drawn']",2,2,"['oranges', 'dogs', 'passion', 'lights']"
458,o,Dan is a moth. Dan,orange.,hurts walls of passion.,is a dog.,is drawn to lights.,4,3,2,"['orange', 'passion', 'dog', 'lights']",3,3,"[' orange', ' walls', ' dog', ' drawn']",4,3,"['orange', 'hurts', 'a', 'lights']"
459,o,Dan is a moth. He,hurts walls of passion.,is drawn to lights.,is a dog.,oranges.,2,2,1,"['passion', 'lights', 'dog', 'oranges']",3,3,"[' walls', ' drawn', ' dog', ' oranges']",2,3,"['hurts', 'lights', 'a', 'oranges']"
460,r,Mary is studying and Steve is cooking. Mary,dices onions on the cutting board.,is learning about integrals.,is a housewife.,makes tomato soup.,2,4,4,"['board', 'integrals', 'housewife', 'soup']",3,3,"[' d', ' integ', ' house', ' tomato']",4,4,"['dices', 'integrals', 'housewife', 'tomato']"
461,r,Steve is studying and Mary is cooking. Steve,dices onions on the cutting board.,makes tomato soup.,is a good husband.,is learning about integrals.,4,3,3,"['board', 'soup', 'husband', 'integrals']",3,3,"[' d', ' tomato', ' husband', ' integ']",2,2,"['dices', 'tomato', 'a', 'integrals']"
462,o,The computer is on the table. It's,turned on and someone may be using it.,being used to query data from that table.,next to the chair of Computer Science.,running a coding marathon.,1,3,1,"['it', 'table', 'science', 'marathon']",2,2,"[' someone', ' query', ' Computer', ' coding']",1,1,"['someone', 'query', 'chair', 'coding']"
463,o,The politician is on a rally. He,makes the public go crazy standing next to his car for the rally.,is the driver for the Paris-Dakar rally.,is enticing the crowd to vote.,"is preparing his car for the rally, with radical left and right curves.",3,1,1,"['crazy', 'parisdakar', 'enticing', 'curves']",2,2,"[' standing', ' Paris', ' enticing', ' curves']",1,1,"['crazy', 'ParisDakar', 'enticing', 'curves']"
464,o,A crowd of runners are gathered near the starting line for a race. They,walk across the starting line.,wait for the signal to begin.,run across the finish line.,eat their shoes.,2,2,2,"['line', 'signal', 'line', 'shoes']",3,3,"[' starting', ' signal', ' run', ' shoes']",1,1,"['across', 'signal', 'run', 'eat']"
465,o,"He falls asleep in the bed, he",sings a song.,has a bad dream.,stops breathing.,open his eyes.,2,2,2,"['song', 'dream', 'breathing', 'eyes']",2,2,"[' sings', ' has', ' stops', ' open']",3,3,"['a', 'dream', 'stops', 'open']"
466,o,"He falls asleep in the bed, he",open his eyes.,sings a song.,breathes smoothly.,stands up.,3,2,1,"['eyes', 'song', 'smoothly', 'up']",2,4,"[' open', ' sings', ' smoothly', ' stands']",1,4,"['open', 'a', 'breathes', 'stands']"
467,o,"He falls asleep in the bed, he",opens his eyes.,walks away.,tries to memorize his childhood.,breathe steadily.,4,1,1,"['eyes', 'away', 'memorize', 'steadily']",1,1,"[' opens', ' walks', ' memor', ' breathe']",1,2,"['opens', 'away', 'memorize', 'steadily']"
468,o,"He falls asleep in the bed, he",thinks about his son.,breathes steadily.,opens his eyes.,watches a movie.,2,1,3,"['son', 'steadily', 'eyes', 'movie']",3,1,"[' son', ' steadily', ' opens', ' watches']",3,3,"['thinks', 'steadily', 'opens', 'a']"
469,o,"He falls asleep in the bed, he",thinks about the final exam.,breathes steadily.,opens his eyes.,looks at the floor.,2,4,4,"['exam', 'steadily', 'eyes', 'floor']",3,4,"[' final', ' steadily', ' opens', ' looks']",3,3,"['thinks', 'steadily', 'opens', 'looks']"
470,o,"He is taking a math exam in the classroom, he",plays the video game.,chats with his mother.,returns home.,tries his best to finish it.,4,4,1,"['game', 'chats', 'home', 'it']",4,4,"[' plays', ' chats', ' returns', ' tries']",1,1,"['video', 'chats', 'returns', 'tries']"
